frame_start_s,frame_duration_s,aortic_bq_ml,lung_bq_ml,liver_bq_ml,kidney_bq_ml,bladder_bq
0,10,12028.3207291,284.617557983,2608.22162139,1218.48716904,637.674885939
10,20,19119.5670752,813.422242827,5097.3808516,3934.79291436,13961.1059728
30,30,6458.66760251,978.711766786,3717.24767395,5530.89788417,72404.2066347
60,240,508.692538711,327.945230485,1411.82711564,2823.37697705,325218.642559
300,300,355.296203567,99.9024709619,559.179717312,1049.61956945,538300.068726
600,600,273.471206497,77.8337937845,370.180948918,673.335157279,663241.799665
1200,1200,201.835673851,67.0162209764,300.381213329,601.763520784,813415.633194
2400,1800,150.444233458,57.6523395727,245.298895432,599.494983527,994425.867041
