time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599485005e-17,6.47620845494163e-19,9.8449657910896242e-21,1.573854595206703e-23,1.8073722468869227e-25,1.9883354608602107e-24,1.3228736391965517e-20,0.0019342803894097115,1,1,0
120,1.1363371054780858e-17,0,1.0068916503962981e-17,1.230715825621276e-18,3.7920887701577352e-20,1.1844799560479042e-22,2.7503582026135005e-24,1.5474237180802739e-23,2.5681164904037693e-20,0.014557357189222636,1,1,3.0814879110195774e-33
180,1.1363371054780858e-17,0,9.4886375269503342e-18,1.7546946310143777e-18,8.2191002721037913e-20,3.7236558525725164e-22,1.3168237867574652e-23,5.0842601707827741e-23,3.7411517670273746e-20,0.045764040175488775,1,1,1.5407439555097887e-33
240,1.1363371054780858e-17,0,8.9485830302432193e-18,2.2245350444276731e-18,1.4081550299605012e-19,8.1103410283293656e-22,3.9054005589111421e-23,1.1740754653556152e-22,4.8469981458955407e-20,0.099676765886127727,1,1,1.5407439555097887e-33
300,1.1363371054780858e-17,0,8.4457622085208498e-18,2.644817002868751e-18,2.1214459917502782e-19,1.4320522486042896e-21,8.8636612610514135e-23,2.2354798883134714e-22,5.890300736618482e-20,0.17600041258713359,1,0.95599989685321662,1.5407439555097887e-33
360,1.1363371054780858e-17,0,7.9774341344304301e-18,3.0234136723332965e-18,2.9103330659141732e-19,2.1915957058187029e-21,1.6900993202993261e-22,3.7573076376139371e-22,6.8753605024105569e-20,0.26934893529493426,0.95599989685321662,0.93266276617626642,3.0814879110195774e-33
420,1.1363371054780858e-17,0,7.541082335319378e-18,3.3630207481060297e-18,3.7732267186988794e-19,3.0203070477154294e-21,2.8447327790078215e-22,5.7888194599648855e-22,7.8061637213952917e-20,0.37119824856657857,0.93266276617626642,0.90720043785835536,4.622231866529366e-33
480,1.1363371054780858e-17,0,7.1343789266216306e-18,3.6677024701124389e-18,4.6930625867115388e-19,3.8458945483608907e-21,4.3602817791722269e-22,8.3741703594121541e-22,8.6864059613416117e-20,0.47266363914991655,0.90720043785835536,0.8818340902125209,0
540,1.1363371054780858e-17,0,6.7551781858434266e-18,3.9409580075404639e-18,5.6565730631843659e-19,4.6060143485626281e-21,6.2156099951970356e-22,1.1548342017191566e-21,9.5195145528732187e-20,0.56608299489028258,0.8818340902125209,0.8584792512774293,0
600,1.1363371054780858e-17,0,6.4014991619909066e-18,4.1857229944597069e-18,6.6543192636004916e-19,5.259747901636914e-21,8.3662515785570989e-22,1.5339049641806373e-21,1.0308669394652578e-19,0.64642739236269653,0.8584792512774293,0.83839315190932584,4.622231866529366e-33
660,1.1363371054780858e-17,0,6.0715097586739207e-18,4.4044424589083652e-18,7.6800750057018627e-19,5.7907142338286499e-21,1.0755442542829727e-21,1.9768606157460152e-21,1.1056821752452969e-19,0.7116835962663608,0.83839315190932584,0.82207910093340986,0
720,1.1363371054780858e-17,0,5.7635128552625968e-18,4.5991845881311952e-18,8.7298545551452564e-19,6.2030287247104409e-21,1.3324682876642127e-21,2.4855461918215779e-21,1.1766711266834796e-19,0.76235739017407267,0.82207910093340986,0.80941065245648181,3.0814879110195774e-33
780,1.1363371054780858e-17,0,5.4759346011568561e-18,4.7717582005753046e-18,9.8009218582044517e-19,6.5135899482461907e-21,1.602134716096927e-21,3.0615282975769246e-21,1.2440881426633934e-19,0.80052562288285045,0.80941065245648181,0.79986859427928736,7.7037197775489434e-33
840,1.1363371054780858e-17,0,5.2073146351041411e-18,4.9238066056904908e-18,1.0891022059510974e-18,6.7442560522778964e-21,1.880256275318352e-21,3.7061581347644771e-21,1.3081693757277615e-19,0.82887467894488587,0.79986859427928736,0.79278133026377851,7.7037197775489434e-33
900,1.1363371054780858e-17,0,4.9562977757777745e-18,5.0568670971464983e-18,1.19979245008764e-18,6.9161293545668667e-21,2.1635922703965245e-21,4.4206008568046637e-21,1.369134092871843e-19,0.84999805076672685,0.79278133026377851,0.78750048730831823,6.1629758220391547e-33
