time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
1380,1.1363371054780858e-17,0,3.4495000470041723e-18,5.6093756569048562e-18,2.103669730154974e-18,7.506140104110577e-21,4.0567554242354941e-21,1.2626872353342188e-20,1.7663585283516741e-19,0.92251086267826421,0.77050600964129334,0.76937228433043392,1.5407439555097887e-33
1440,1.1363371054780858e-17,0,3.310139689197646e-18,5.6292251215999459e-18,2.2174851750870138e-18,7.5388717532465933e-21,4.3104640216853019e-21,1.3980973067997067e-20,1.8069076005332489e-19,0.92653360958446873,0.76937228433043392,0.76836659760388282,3.0814879110195774e-33
1500,1.1363371054780858e-17,0,3.1792372159784301e-18,5.6413307866909686e-18,2.330682747024698e-18,7.5680949448986787e-21,4.5619669878031561e-21,1.540667253244595e-20,1.8458357062161631e-19,0.9301251641474344,0.76836659760388282,0.76746870896314134,3.0814879110195774e-33
1560,1.1363371054780858e-17,0,3.056204715629957e-18,5.6464186943377927e-18,2.4431145527971034e-18,7.5943302435755859e-21,4.8111614236501873e-21,1.6903523563078925e-20,1.8832407678570211e-19,0.93334950417831142,0.76746870896314134,0.76666262395542217,1.5407439555097887e-33
1620,1.1363371054780858e-17,0,2.9404972877060533e-18,5.6451576282678547e-18,2.5546477911521406e-18,7.6179975764279271e-21,5.057965068210475e-21,1.8470993574324471e-20,1.9192139143584985e-19,0.93625823907322103,0.76666262395542217,0.76593544023169469,4.622231866529366e-33
1680,1.1363371054780858e-17,0,2.8316098480945865e-18,5.6381632909288937e-18,2.6651636911146425e-18,7.6394408802815544e-21,5.3023124184798273e-21,2.0108473565043424e-20,1.9538399777893371e-19,0.93889363895415967,0.76593544023169469,0.76527659026146011,1.5407439555097887e-33
1740,1.1363371054780858e-17,0,2.7290741708486741e-18,5.626002226716423e-18,2.7745564785114e-18,7.6589452060302299e-21,5.5441517477710152e-21,2.1815286430241271e-20,1.987197953203247e-19,0.94129073681308661,0.76527659026146011,0.76467731579672837,6.1629758220391547e-33
1800,1.1363371054780858e-17,0,2.6324561497582012e-18,5.6091954881414785e-18,2.8827323879509847e-18,7.6767491062794308e-21,5.7834427639484519e-21,2.3590694630495113e-20,2.0193614242947552e-19,0.94347885096365158,0.76467731579672837,0.76413028725908716,6.1629758220391547e-33
1860,1.1363371054780858e-17,0,2.5413532636660756e-18,5.588222051588958e-18,2.9896087279015422e-18,7.69305388461076e-21,6.0201547403410406e-21,2.5433907256150652e-20,2.0503989574318523e-19,0.94548272178348558,0.76413028725908716,0.7636293195541286,4.622231866529366e-33
1920,1.1363371054780858e-17,0,2.4553922305861335e-18,5.5635219937065784e-18,3.0951130016618141e-18,7.7080306548870409e-21,6.2542650048889274e-21,2.7344086524594349e-20,2.0803744664196727e-19,0.94732337930866817,0.7636293195541286,0.76316915517283301,6.1629758220391547e-33
