time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0693044215960911e-17,6.4723895208574595e-19,9.8410916862837221e-21,1.5750002626580341e-23,1.6440227415466361e-25,1.9877024739514002e-24,1.3228892940543489e-20,0.0019356884242374801,1,1,1.5407439555097887e-33
120,1.1363371054780858e-17,0,1.0070370872492033e-17,1.22928969861029e-18,3.7891534631188815e-20,1.1861857600446481e-22,2.5032081752694931e-24,1.5463845755589314e-23,2.5682363417410652e-20,0.014578321662237662,1,1,1.5407439555097887e-33
180,1.1363371054780858e-17,0,9.4917237691670355e-18,1.7516987821517363e-18,8.209717396141114e-20,3.7315926439471657e-22,1.1991569614528817e-23,5.0788911669391242e-23,3.7415389754997752e-20,0.045861584001694676,1,1,1.5407439555097887e-33
240,1.1363371054780858e-17,0,8.9537590478400252e-18,2.2195622650565852e-18,1.406048540211101e-19,8.1329936804820063e-22,3.5583235021887641e-23,1.1723532161988549e-22,4.8478769938449655e-20,0.099955168865414501,1,1,4.622231866529366e-33
300,1.1363371054780858e-17,0,8.4533938926684433e-18,2.6375619068514944e-18,2.1175494464238279e-19,1.4369386580636522e-21,8.0800143649616213e-23,2.2312372409465923e-22,5.8919448092733634e-20,0.17660095637438414,1,0.95584976090640394,3.0814879110195774e-33
360,1.1363371054780858e-17,0,7.9878092709334584e-18,3.0136575365348163e-18,2.9039411425361221e-19,2.200320713790695e-21,1.541398314643977e-22,3.7484799464730046e-22,6.8780824519072522e-20,0.27042124603247425,0.95584976090640394,0.93239468849188145,3.0814879110195774e-33
420,1.1363371054780858e-17,0,7.5544224145367025e-18,3.3506160546552025e-18,3.7635888183879733e-19,3.0338312581460844e-21,2.5955483677033556e-22,5.7725091372107318e-22,7.8103066741519466e-20,0.37286038527844112,0.93239468849188145,0.90678490368038966,3.0814879110195774e-33
480,1.1363371054780858e-17,0,7.1508478446819639e-18,3.6525624796043032e-18,4.6794007429669716e-19,3.8646531755346609e-21,3.979826119091831e-22,8.3465966100002676e-22,8.6923360749448924e-20,0.47496909003368804,0.90678490368038966,0.88125772749157805,0
540,1.1363371054780858e-17,0,6.774890765572925e-18,3.9230457461870857e-18,5.6381061484906956e-19,4.6297941740152697e-21,5.6750355254822242e-22,1.1504841504758074e-21,9.5276146294740403e-20,0.56900555521934459,0.88125772749157805,0.85774861119516388,3.0814879110195774e-33
600,1.1363371054780858e-17,0,6.4245283773043442e-18,4.1650414518735432e-18,6.6302868706985935e-19,5.2877408723866813e-21,7.6405101645381215e-22,1.5274122631807908e-21,1.0319333438108941e-19,0.64986775175342426,0.85774861119516388,0.83753306206164391,0
660,1.1363371054780858e-17,0,6.0978928001496062e-18,4.3810261535810051e-18,7.6497586361262335e-19,5.8217147765740208e-21,9.8241991869105139e-22,1.9675995312996999e-21,1.1070450321105736e-19,0.71549358875715718,0.83753306206164391,0.8211266028107107,1.5407439555097887e-33
720,1.1363371054780858e-17,0,5.7932562335990525e-18,4.5730926595421836e-18,8.6925933041355416e-19,6.2356944953776688e-21,1.2172369355030428e-21,2.4728248524861873e-21,1.1783707494269973e-19,0.76637204056166308,0.8211266028107107,0.80840698985958426,0
780,1.1363371054780858e-17,0,5.5090185003255445e-18,4.7430690652365515e-18,9.7561207176517616e-19,6.5466796783023617e-21,1.4636630335021955e-21,3.0445986641127538e-21,1.2461647607766484e-19,0.80459237823200691,0.80840698985958426,0.79885190544199824,6.1629758220391547e-33
840,1.1363371054780858e-17,0,5.2436967017448998e-18,4.892614025180755e-18,1.0838152777819399e-18,6.776786306358616e-21,1.7177542660665843e-21,3.6842252875285719e-21,1.310662842133068e-19,0.83287267423126665,0.79885190544199824,0.79178183144218339,4.622231866529366e-33
900,1.1363371054780858e-17,0,4.9959164833226779e-18,5.0232773400324155e-18,1.1936520725538093e-18,6.9474335635836688e-21,1.9765308877364805e-21,4.3928310176768472e-21,1.3720836340295464e-19,0.85384536409488287,0.79178183144218339,0.78653865897627928,4.622231866529366e-33
