time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692662481991449e-17,6.4859439182206689e-19,8.8693132578557505e-21,1.4191247643918719e-23,1.4809428930084739e-25,1.7907985672718245e-24,1.3228737568985288e-20,0.0017441161402387119,1,1,0
120,1.1363371054780858e-17,0,1.0068945987557152e-17,1.2344238761383105e-18,3.4196744812280274e-20,1.0705939001660554e-22,2.2576115336372278e-24,1.3946302499563012e-23,2.5681182969062854e-20,0.01315768808897423,1,1,4.622231866529366e-33
180,1.1363371054780858e-17,0,9.4887320000915965e-18,1.762641189907751e-18,7.4191881368681597e-20,3.3769280741297404e-22,1.0834113731191884e-23,4.5851076799037878e-23,3.741160541487935e-20,0.041502726936336755,1,1,7.7037197775489434e-33
240,1.1363371054780858e-17,0,8.9487956750058286e-18,2.2379945482012648e-18,1.2723350439161873e-19,7.3890773458789896e-22,3.2229218574754605e-23,1.059426521497971e-22,4.8470247576827773e-20,0.090812375231449957,1,1,6.1629758220391547e-33
300,1.1363371054780858e-17,0,8.4461566574679621e-18,2.664859067040428e-18,1.9186388458063777e-19,1.3125567493581751e-21,7.3429258414264816e-23,2.0182873461251049e-22,5.8903630949438754e-20,0.1613143163290402,1,0.95967142091773994,6.1629758220391547e-33
360,1.1363371054780858e-17,0,7.9780780451143211e-18,3.0503139856700435e-18,2.6371999018752454e-19,2.024035682117963e-21,1.4067346932386118e-22,3.3947974106816037e-22,6.8754844916455253e-20,0.24875566899953036,0.95967142091773994,0.93781108275011738,3.0814879110195774e-33
420,1.1363371054780858e-17,0,7.5420430312731204e-18,3.3971454643435714e-18,3.4254284555508115e-19,2.8142654756098858e-21,2.3808812247031583e-22,5.2352687413886882e-22,7.8063833136864279e-20,0.34587556796185875,0.93781108275011738,0.9135311080095353,1.5407439555097887e-33
480,1.1363371054780858e-17,0,7.1357229998052939e-18,3.7092526687378269e-18,4.2678436342096254e-19,3.6181200368504638e-21,3.6716225188802111e-22,7.5810869687987167e-22,8.6867631831154041e-20,0.44466996221407917,0.9135311080095353,0.88883250944648018,1.5407439555097887e-33
540,1.1363371054780858e-17,0,6.7569700657950065e-18,3.9900452077932447e-18,5.1520613655828363e-19,4.3757727257998968e-21,5.267483333636914e-22,1.046530562557219e-21,9.5200593012599527e-20,0.53778610792930326,0.88883250944648018,0.86555347301767416,3.0814879110195774e-33
600,1.1363371054780858e-17,0,6.4038005671210747e-18,4.242430509481412e-18,6.0689644030356893e-19,5.0439565520563321e-21,7.1356773037873771e-22,1.391422218597389e-21,1.0309459137376805e-19,0.61990645599607141,0.86555347301767416,0.84502338600098215,1.5407439555097887e-33
660,1.1363371054780858e-17,0,6.0743797401292694e-18,4.4688604979072223e-18,7.0123298421398891e-19,5.6006798530380565e-21,9.2304196155156641e-22,1.7948987063218237e-21,1.1057921200946523e-19,0.68832821278961809,0.84502338600098215,0.82791794680259545,0
720,1.1363371054780858e-17,0,5.7670080876572941e-18,4.6714184350233313e-18,7.9781020030696626e-19,6.0435414110560351e-21,1.1501693713526907e-21,2.2587002827861132e-21,1.1768192072807195e-19,0.74275626665854,0.82791794680259545,0.81431093333536497,1.5407439555097887e-33
780,1.1363371054780858e-17,0,5.4801096405404689e-18,4.8519177788657738e-18,8.9635689719635702e-19,6.3839952118137678e-21,1.390226920860412e-21,2.7842969078054587e-21,1.2442821913777904e-19,0.78459832197364332,0.81431093333536497,0.8038504195065892,0
