time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.069265859948571e-17,6.4762084579106975e-19,9.8451642190935697e-21,1.5754915946721244e-23,1.6444332112099788e-25,1.7895337497917528e-24,1.3228736391965662e-20,0.0019362922753698773,1,1,1.5407439555097887e-33
120,1.1363371054780858e-17,0,1.0068916503984865e-17,1.2307158302274179e-18,3.7922432374709972e-20,1.1869145327534144e-22,2.5044418497330803e-24,1.3927394696210619e-23,2.5681164904046528e-20,0.014587278339450392,1,1,3.0814879110195774e-33
180,1.1363371054780858e-17,0,9.4886375271109013e-18,1.754694653689604e-18,8.2196099999920005e-20,3.7349439156529483e-22,1.2000257313144843e-23,4.5761661184186588e-23,3.7411517670371517e-20,0.045902771409729835,1,1,3.0814879110195774e-33
240,1.1363371054780858e-17,0,8.9485830308986965e-18,2.2245351144007254e-18,1.4082739816747757e-19,8.1423477501687668e-22,3.5616596189990993e-23,1.0567848326778669e-22,4.8469981459489461e-20,0.10007013115997067,1,0.97498246721000736,7.7037197775489434e-33
300,1.1363371054780858e-17,0,8.445772504926329e-18,2.646606258436291e-18,2.1037218960541533e-19,1.4354964437449283e-21,8.0843262841678213e-23,2.0075064635573314e-22,5.8903011459883719e-20,0.1764237070349261,0.97498246721000736,0.95589407324126852,3.0814879110195774e-33
360,1.1363371054780858e-17,0,7.9774642209671826e-18,3.0251314410033927e-18,2.893358058143557e-19,2.1951191810470536e-21,1.5403566974678704e-22,3.3679859069666934e-22,6.8753633554439874e-20,0.26978197333145471,0.95589407324126852,0.93255450666713635,3.0814879110195774e-33
420,1.1363371054780858e-17,0,7.5411302460833396e-18,3.3646739228378994e-18,3.7569965451776894e-19,3.0275383031127712e-21,2.5920758720367497e-22,5.1877272229743424e-22,7.806171272923795e-20,0.37208697587013578,0.93255450666713635,0.90697825603246607,1.5407439555097887e-33
480,1.1363371054780858e-17,0,7.1344429572711643e-18,3.6693090265083499e-18,4.677475839250409e-19,3.8592397119626122e-21,3.9739423791699149e-22,7.5065067830562515e-22,8.6864202448118602e-20,0.47430377085756542,0.90697825603246607,0.88142405728560869,1.5407439555097887e-33
540,1.1363371054780858e-17,0,6.7552569963740702e-18,3.9425451006200412e-18,5.6414492025843907e-19,4.6263434676137539e-21,5.6673890212045142e-22,1.0355809766522246e-21,9.519537418192511e-20,0.56858146053217395,0.88142405728560869,0.85785463486695646,3.0814879110195774e-33
