time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658593616246e-17,6.4761888106169854e-19,9.8469336188714604e-21,1.5757044855287683e-23,1.6446107381506367e-25,1.9885875689085354e-24,1.322873639054651e-20,0.0019365539200035969,1,1,3.0814879110195774e-33
120,1.1363371054780858e-17,0,1.006891641413915e-17,1.230700728380591e-18,3.7936041569651093e-20,1.1872337979639528e-22,2.5049802988363226e-24,1.547747109508502e-23,2.5681164860276824e-20,0.01459120213544556,1,1,0
180,1.1363371054780858e-17,0,9.4886370918732349e-18,1.754645668620139e-18,8.2240274701300831e-20,3.7364283635267726e-22,1.2004083793766188e-23,5.085531607281629e-23,3.7411517349966228e-20,0.045921015397580964,1,1,1.5407439555097887e-33
240,1.1363371054780858e-17,0,8.9485817143481274e-18,2.2244234860837067e-18,1.4092815155612644e-19,8.1465373381940553e-22,3.5631423440614926e-23,1.1743747794450593e-22,4.8469980157692209e-20,0.10012162154530678,1,0.97496959461367327,1.5407439555097887e-33
300,1.1363371054780858e-17,0,8.4457694345941006e-18,2.6463979072462989e-18,2.1056037144451126e-19,1.4363774026547792e-21,8.0883973034546522e-23,2.2307248903090012e-22,5.8903007631222536e-20,0.17653197761776077,0.97496959461367327,0.95586700559555982,4.622231866529366e-33
360,1.1363371054780858e-17,0,7.9774581540881064e-18,3.0247881354088083e-18,2.8964617652036787e-19,2.196630563417761e-21,1.5412456889197021e-22,3.7420924424372959e-22,6.8753624387012424e-20,0.26996772348203801,0.95586700559555982,0.93250806912949047,1.0785207688568521e-32
420,1.1363371054780858e-17,0,7.5411195513285964e-18,3.3641546946489555e-18,3.7616965710155946e-19,3.0297620624712867e-21,2.593720087478767e-22,5.7632394293071441e-22,7.8061693687586549e-20,0.37236027774510205,0.93250806912949047,0.90690993056372449,1.0785207688568521e-32
480,1.1363371054780858e-17,0,7.1344256116021909e-18,3.668571086727073e-18,4.6841658339563169e-19,3.8621347912944311e-21,3.9766202683399243e-22,8.3380943387042604e-22,8.6864166803948742e-20,0.4746595785156793,0.90690993056372449,0.88133510537108017,1.3866695599588098e-32
540,1.1363371054780858e-17,0,6.7552305900833947e-18,3.9415443010747166e-18,5.6505382371118651e-19,4.6297549784739711e-21,5.6713337683542112e-22,1.1501390096779341e-21,9.5195312546556114e-20,0.56900073805471474,0.88133510537108017,0.85774981548632134,1.5407439555097887e-32
600,1.1363371054780858e-17,0,6.4015535800288028e-18,4.1860133219246858e-18,6.6513519204409351e-19,5.2902365524878178e-21,7.6373751716014165e-22,1.5280612884339074e-21,1.0308692542517854e-19,0.65017447291385233,0.85774981548632134,0.83745638177153692,1.5407439555097887e-32
660,1.1363371054780858e-17,0,6.0715625342700081e-18,4.4044211457518668e-18,7.6804056048488044e-19,5.8262522427425869e-21,9.8225762821540476e-22,1.9697907198625018e-21,1.1056851368326655e-19,0.71605124712370505,0.83745638177153692,0.82098718821907379,1.5407439555097887e-32
720,1.1363371054780858e-17,0,5.7635603296235534e-18,4.5988296351503404e-18,8.7337757852691876e-19,6.2415840198412889e-21,1.2172936690291571e-21,2.4771644461794534e-21,1.1766746934497799e-19,0.76709586801736473,0.82098718821907379,0.80822603299565876,1.8488927466117464e-32
780,1.1363371054780858e-17,0,5.4759730270139848e-18,4.7710391792767887e-18,9.8088060488395904e-19,6.5532915400950952e-21,1.4639779086918757e-21,3.0517512927133362e-21,1.2440922286460786e-19,0.80540498154632334,0.80822603299565876,0.79864875461341911,1.8488927466117464e-32
840,1.1363371054780858e-17,0,5.2073400844240494e-18,4.9226847746128664e-18,1.0903318818935216e-18,6.7836711272501696e-21,1.7183434960058168e-21,3.6949143270311314e-21,1.3081738490011536e-19,0.83371882444588552,0.79864875461341911,0.79157029388852862,2.0029671421627253e-32
900,1.1363371054780858e-17,0,4.9563060633246703e-18,5.0552970475535988e-18,1.2015144996630462e-18,6.9543323102797682e-21,1.9773960076825684e-21,4.4078386320747281e-21,1.3691387728949042e-19,0.85469322580246443,0.79157029388852862,0.78632669354938389,1.5407439555097887e-32
960,1.1363371054780858e-17,0,4.7216133488700462e-18,5.1703312700705134e-18,1.3141937835776879e-18,7.083060536548535e-21,2.2389980338627384e-21,5.1915389644818771e-21,1.4271905472770429e-19,0.87051403189176324,0.78632669354938389,0.78237149202705925,1.3866695599588098e-32
1020,1.1363371054780858e-17,0,4.5020955124014257e-18,5.2691748464932472e-18,1.4281173673311614e-18,7.1829743127309348e-21,2.5016765033173853e-21,6.0468596159246916e-21,1.4825181812304061e-19,0.88279351809652951,0.78237149202705925,0.7793016204758676,9.2444637330587321e-33
1080,1.1363371054780858e-17,0,4.296671093165784e-18,5.3531444183978493e-18,1.5430238772128002e-18,7.2630422779841865e-21,2.7644293028230763e-21,6.974474168627472e-21,1.535297202549803e-19,0.89263393762962895,0.7793016204758676,0.77684151559259274,1.0785207688568521e-32
1140,1.1363371054780858e-17,0,4.1043377008986836e-18,5.4234806009768513e-18,1.6586531159147601e-18,7.3291155234150684e-21,3.0265688282923074e-21,7.9748884713784872e-21,1.5856906416746979e-19,0.90075439445523708,0.77684151559259274,0.77481140138619076,7.7037197775489434e-33
1200,1.1363371054780858e-17,0,3.924166416989524e-18,5.481344445269245e-18,1.7747541934566023e-18,7.384946060281045e-21,3.2876110718088682e-21,9.0484472691970877e-21,1.6338499466419329e-19,0.9076160138779571,0.77481140138619076,0.77309599653051075,4.622231866529366e-33
1260,1.1363371054780858e-17,0,3.7552965035278558e-18,5.5278167744703188e-18,1.8910906772405655e-18,7.4329691166676237e-21,3.5472035840509435e-21,1.0195343572985079e-20,1.6799158326840583e-19,0.91351808745521001,0.77309599653051075,0.7716204781361975,1.0785207688568521e-32
1320,1.1363371054780858e-17,0,3.5969304331936497e-18,5.5639000004425896e-18,2.0074431806280152e-18,7.4748228586614209e-21,3.805081065321992e-21,1.1415629567494832e-20,1.7240190702511538e-19,0.91866194716172778,0.7716204781361975,0.77033451320956803,7.7037197775489434e-33
1380,1.1363371054780858e-17,0,3.4483292447726817e-18,5.5905215551099013e-18,2.1236102036276183e-18,7.5116632024241532e-21,4.0610384611296051e-21,1.270922807253131e-20,1.7662812153456241e-19,0.92318965605531877,0.77033451320956803,0.76920258598617031,9.2444637330587321e-33
1440,1.1363371054780858e-17,0,3.3088082191752065e-18,5.608538153350694e-18,2.2394079503352677e-18,7.5443450097435872e-21,4.3149143912871472e-21,1.4075943913066107e-20,1.8068152860558354e-19,0.92720627736080508,0.76920258598617031,0.76819843065979876,9.2444637330587321e-33
