time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
30,1.1363371054780858e-17,0,1.1021913234092244e-17,3.3223212131250717e-19,2.5084488594056915e-21,2.0247344991066856e-24,1.0520704104905251e-26,2.5205885498293733e-25,6.7149632026495573e-21,0.00024884155418874603,1,1,6.1629758220391547e-33
60,1.1363371054780858e-17,0,1.0692658599484772e-17,6.4762084549476292e-19,9.8449660000672721e-21,1.5754677884087523e-23,1.6444132943053311e-25,1.9882900833628573e-24,1.3228736391969106e-20,0.0019362630172741638,1,1,1.0785207688568521e-32
90,1.1363371054780858e-17,0,1.0375142009728939e-17,9.4688542229410211e-19,2.1736042620473237e-20,5.1648641908111756e-23,8.1264270371456244e-25,6.6178429249047228e-24,1.9548501009822631e-20,0.0063476610537445705,1,1,1.6948183510607676e-32
120,1.1363371054780858e-17,0,1.0068916503962596e-17,1.2307158256362701e-18,3.7920895184180011e-20,1.1868785884667385e-22,2.5043813486147039e-24,1.5472853587178226e-23,2.5681164904044331e-20,0.014586836581177166,1,1,1.3866695599588098e-32
150,1.1363371054780858e-17,0,9.7735525843143266e-18,1.4997739283815838e-18,5.8151230691219608e-20,2.2417145788379542e-22,5.9534360009399078e-24,2.981347985722958e-23,3.163337301999607e-20,0.027550858647971993,1,1,1.0785207688568521e-32
180,1.1363371054780858e-17,0,9.4886375269506069e-18,1.7546946311984974e-18,8.2191068943193455e-20,3.7347756656137048e-22,1.1999825073083423e-23,5.0832626646866065e-23,3.7411517670283309e-20,0.045900703602751877,1,1,4.622231866529366e-33
210,1.1363371054780858e-17,0,9.2137747204247502e-18,1.9960869474285204e-18,1.0981657122924304e-19,5.6984002199857277e-22,2.1566936763218625e-23,7.9660340240916371e-23,4.3021748399344667e-20,0.070033812717487792,1,1,1.5407439555097887e-33
240,1.1363371054780858e-17,0,8.9485830302497921e-18,2.2245350455983534e-18,1.4081582775786629e-19,8.1418696715155042e-22,3.5614912114068243e-23,1.1736783661171971e-22,4.8469981458970935e-20,0.10006425553355372,1,0.9749839361166116,3.0814879110195774e-33
270,1.1363371054780858e-17,0,8.6926987292059041e-18,2.4414648233141001e-18,1.7412147006307604e-19,1.104194293953765e-21,5.5085842397302847e-23,1.6484264491246467e-22,5.3761909416520124e-20,0.13570639723629366,0.9749839361166116,0.96607340069092662,6.1629758220391547e-33
300,1.1363371054780858e-17,0,8.4457734913511417e-18,2.6469422479071184e-18,2.1001354314295565e-19,1.4350667615348e-21,8.0836322807818308e-23,2.2285764029963225e-22,5.8903011655004328e-20,0.1763708987338759,0.96607340069092662,0.95590727531653097,4.622231866529366e-33
330,1.1363371054780858e-17,0,8.207471459037462e-18,2.8415734497069944e-18,2.4822114089342698e-19,1.8006434786536838e-21,1.1360570674409583e-22,2.9219379822211652e-22,6.389856215935991e-20,0.22130058136792935,0.95590727531653097,0.9446748546580177,4.622231866529366e-33
360,1.1363371054780858e-17,0,7.97747040431653e-18,3.0259397907193653e-18,2.8848651720242546e-19,2.1931638064718776e-21,1.5398381883122769e-22,3.7355740011030232e-22,6.8753637517127895e-20,0.26954165616961318,0.9446748546580177,0.93261458595759672,4.622231866529366e-33
390,1.1363371054780858e-17,0,7.7554611594214294e-18,3.2005937049404555e-18,3.3056929883845355e-19,2.6037988441789886e-21,2.0238432230466042e-22,4.6758348824735325e-22,7.3473124925794854e-20,0.32000904388512602,0.93261458595759672,0.91999773902871851,6.1629758220391547e-33
420,1.1363371054780858e-17,0,7.5411470415970539e-18,3.3660551392587185e-18,3.7425003183194697e-19,3.0232419577817035e-21,2.5902993817557685e-22,5.7484034064987056e-22,7.8061729856538615e-20,0.37155895145508971,0.91999773902871851,0.90711026213622759,6.1629758220391547e-33
