time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
1080,1.1363371054780858e-17,0,3.9257894866412978e-18,5.636205121462274e-18,1.6363899565249169e-18,7.314055132981246e-21,2.8378350031919842e-21,7.4510890386148043e-21,1.473835109775687e-19,0.89890345994313425,0.77751154179618676,0.77527413501421649,1.2325951644078309e-32
1140,1.1363371054780858e-17,0,3.736440983396657e-18,5.6992876514796326e-18,1.7566774920731808e-18,7.3745265298194138e-21,3.1009458887070727e-21,8.5099541262340791e-21,1.5197950128661688e-19,0.90633544491687434,0.77527413501421649,0.77341613877078141,9.2444637330587321e-33
1200,1.1363371054780858e-17,0,3.5600530674581406e-18,5.749357259518962e-18,1.8771712712741108e-18,7.425872440161964e-21,3.3627403321467738e-21,9.6446913143548566e-21,1.5635615244297164e-19,0.91264590000938817,0.77341613877078141,0.77183852499765293,9.2444637330587321e-33
1260,1.1363371054780858e-17,0,3.3956396274075461e-18,5.7876302653065996e-18,1.9976243232593835e-18,7.4701859490870567e-21,3.6229072348337755e-21,1.0855328224150135e-20,1.605284173992483e-19,0.91809206711788671,0.77183852499765293,0.77047698322052827,1.0785207688568521e-32
1320,1.1363371054780858e-17,0,3.2422921816937549e-18,5.8152264165241741e-18,2.1178104947354014e-18,7.5088910336505742e-21,3.8812108443216553e-21,1.2141746959784059e-20,1.6451011298976291e-19,0.92284895420705415,0.77047698322052827,0.76928776144823652,1.0785207688568521e-32
1380,1.1363371054780858e-17,0,3.099173746611145e-18,5.8331745693343039e-18,2.2375245555061009e-18,7.5430082830328044e-21,4.1374682067588003e-21,1.3503697480365697e-20,1.683140093591422e-19,0.92704199253611153,0.76928776144823652,0.76823950186597212,9.2444637330587321e-33
1440,1.1363371054780858e-17,0,2.9655131716312511e-18,5.8424188729454184e-18,2.3565814487245804e-18,7.5733034136507078e-21,4.3915352130380728e-21,1.4940810537456522e-20,1.7195191231545502e-19,0.93076528928965441,0.76823950186597212,0.76730867767758637,7.7037197775489434e-33
1500,1.1363371054780858e-17,0,2.8405999147346114e-18,5.8438249752483056e-18,2.4748151470545705e-18,7.6003712242214053e-21,4.6432974747181202e-21,1.645260989174875e-20,1.7543473915267255e-19,0.93409194572479226,0.76730867767758637,0.76647701356880193,9.2444637330587321e-33
1560,1.1363371054780858e-17,0,2.723779227945084e-18,5.8381860024307248e-18,2.5920773629155611e-18,7.6246853422604656e-21,4.892663997581826e-21,1.8038523696960746e-20,1.7877258845267594e-19,0.93708017105716934,0.76647701356880193,0.76572995723570769,7.7037197775489434e-33
1620,1.1363371054780858e-17,0,2.6144477231541801e-18,5.8262282045758956e-18,2.7082362354138448e-18,7.6466296931379353e-21,5.1395625728707066e-21,1.9697895029885007e-20,1.8197480434103503e-19,0.93977715003412754,0.76572995723570769,0.76505571249146809,7.7037197775489434e-33
1680,1.1363371054780858e-17,0,2.5120492894339252e-18,5.8086162308558174e-18,2.8231750512572596e-18,7.6665197144514196e-21,5.3839362952926371e-21,2.1429991588625227e-20,1.8505003563547502e-19,0.94222165019880511,0.76505571249146809,0.76444458745029875,1.2325951644078309e-32
1740,1.1363371054780858e-17,0,2.4160713346837317e-18,5.7859580316157697e-18,2.9367910253306501e-18,7.6846173946366167e-21,5.625740863862609e-21,2.323401459984993e-20,1.8800629029234694e-19,0.94444587014788106,0.76444458745029875,0.76388853246302979,1.0785207688568521e-32
1800,1.1363371054780858e-17,0,2.3260413262773923e-18,5.7588093995644795e-18,3.0489941516575295e-18,7.7011423230519932e-21,5.8649424503507711e-21,2.5109106983129205e-20,1.9085098552491529e-19,0.94647679759617331,0.76388853246302979,0.7633808006009567,9.2444637330587321e-33
1860,1.1363371054780858e-17,0,2.2415236072009212e-18,5.7276781685399328e-18,3.1597061282703432e-18,7.7162800175223689e-21,6.1015159918364887e-21,2.7054360822311991e-20,1.9359099393797939e-19,0.94833723283867288,0.7633808006009567,0.76291569179033181,9.2444637330587321e-33
1920,1.1363371054780858e-17,0,2.1621164659275543e-18,5.6930280906566323e-18,3.2688593558813181e-18,7.7301883187914745e-21,6.3354438070657258e-21,2.9068824193293722e-20,1.9623268599619301e-19,0.95004657463408182,0.76291569179033181,0.76248835634147949,7.7037197775489434e-33
1980,1.1363371054780858e-17,0,2.0874494399342551e-18,5.6552824131621564e-18,3.376396008332457e-18,7.7430023737657711e-21,6.5667144641422035e-21,3.1151507395723756e-20,1.9878196911834859e-19,0.95162143264962451,0.76248835634147949,0.7620946418375939,9.2444637330587321e-33
2040,1.1363371054780858e-17,0,2.0171808343153299e-18,5.6148271759750088e-18,3.4822671717769137e-18,7.7548385671127353e-21,6.795321845931182e-21,3.3301388633831026e-20,2.0124432366672083e-19,0.95307611065774689,0.7620946418375939,0.76173097233556331,1.0785207688568521e-32
2100,1.1363371054780858e-17,0,1.9509954383924271e-18,5.5720142500795244e-18,3.5864320490117287e-18,7.7657976562892795e-21,7.0212643727717231e-21,3.5517419188923578e-20,2.0362483607918481e-19,0.95442299183371715,0.76173097233556331,0.76139425204157074,7.7037197775489434e-33
2160,1.1363371054780858e-17,0,1.8886024245596316e-18,5.5271641359379271e-18,3.6888572251412104e-18,7.7759672949471019e-21,7.2445443515982193e-21,3.7798528123414764e-20,2.0592822937212066e-19,0.95567284888424253,0.76139425204157074,0.76108178777893931,7.7037197775489434e-33
