time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
900,1.1363371054780858e-17,0,4.9564954234172728e-18,5.0598314907592894e-18,1.1969673433130167e-18,6.9877925650684002e-21,1.789247098768633e-21,4.3851360732989543e-21,1.3691462155414067e-19,0.85880551894945634,0.79049603244378142,0.78529862026263597,3.0814879110195774e-33
960,1.1363371054780858e-17,0,4.7218484497042224e-18,5.1755873582109663e-18,1.3089116297590928e-18,7.1146810928752023e-21,2.0257621554824345e-21,5.1631207753811719e-21,1.4272005308283692e-19,0.87440022456745103,0.78529862026263597,0.78139994385813727,1.5407439555097887e-33
1020,1.1363371054780858e-17,0,4.5023822465644451e-18,5.2751877810070227e-18,1.4220601593553686e-18,7.212653037579721e-21,2.2631607463796376e-21,6.0119250831421374e-21,1.4825312898691794e-19,0.88644105806829887,0.78139994385813727,0.77838973548292523,3.0814879110195774e-33
1080,1.1363371054780858e-17,0,4.2970154031174127e-18,5.3599476863674438e-18,1.5361529921701977e-18,7.2908255779313009e-21,2.500541361265956e-21,6.9321970373456004e-21,1.5353140914925526e-19,0.89604852830429882,0.77838973548292523,0.77598786792392527,6.1629758220391547e-33
1140,1.1363371054780858e-17,0,4.1047455604056667e-18,5.4311067115378938e-18,1.6509307424753937e-18,7.3551281177194355e-21,2.7372896718736291e-21,7.9244188074073958e-21,1.5857120376489681e-19,0.9039513639334753,0.77598786792392527,0.77401215901663112,6.1629758220391547e-33
1200,1.1363371054780858e-17,0,3.9246438202118235e-18,5.4898253232722993e-18,1.7661430141740235e-18,7.4093431107391813e-21,2.9729764657515941e-21,8.9889127271051733e-21,1.6338766481910892e-19,0.91061443167362477,0.77401215901663112,0.77234639208159384,7.7037197775489434e-33
1260,1.1363371054780858e-17,0,3.7558494578704421e-18,5.5371839063455322e-18,1.8815537692750993e-18,7.4559085218650507e-21,3.2072914042917081e-21,1.0125850326924316e-20,1.6799487103669318e-19,0.91633735943581374,0.77234639208159384,0.77091566014104651,1.0785207688568521e-32
1320,1.1363371054780858e-17,0,3.5975649533940386e-18,5.5741844303103481e-18,1.9969440471240143e-18,7.4964518937525221e-21,3.4400023083361418e-21,1.1335263073840293e-20,1.7240590667651878e-19,0.92132017356624996,0.77091566014104651,0.76966995660843751,1.0785207688568521e-32
1380,1.1363371054780858e-17,0,3.4490513468511777e-18,5.6017538062120213e-18,2.1121128690587551e-18,7.5321137091422367e-21,3.6709306279636657e-21,1.2617053763874381e-20,1.7663293455791409e-19,0.92570304034245399,0.76966995660843751,0.76857423991438645,1.0785207688568521e-32
1440,1.1363371054780858e-17,0,3.309623913666824e-18,5.6207481221371193e-18,2.2268770780328578e-18,7.5637329121784468e-21,3.8999364492430871e-21,1.3971007876256553e-20,1.8068726370636765e-19,0.92958906669761887,0.76857423991438645,0.76760273332559525,1.0785207688568521e-32
1500,1.1363371054780858e-17,0,3.1786481478215183e-18,5.6319572020082057e-18,2.3410706276433748e-18,7.5919518737639621e-21,4.12690893440216e-21,1.5396804503757431e-20,1.8457941199582571e-19,0.93305720055004748,0.76760273332559525,0.76673569986248813,1.0785207688568521e-32
