time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
600,1.1363371054780858e-17,0,6.400540582995261e-18,4.1390581356270114e-18,7.1292556433176354e-19,5.4034956878657047e-21,7.7383439804214163e-22,1.5843715015021811e-21,1.0308507023941338e-19,0.66409411486490399,1,1,1.5407439555097887e-33
660,1.1363371054780858e-17,0,6.0699579511671686e-18,4.3395517323201939e-18,8.3428127809395424e-19,5.9572534659857335e-21,9.9726876662705288e-22,2.0604651391454362e-21,1.1056510582778544e-19,0.73215140643191745,1,1,1.5407439555097887e-33
720,1.1363371054780858e-17,0,5.7611771716707202e-18,4.513755834708056e-18,9.6054322330704246e-19,6.3813486490493289e-21,1.2376955592976774e-21,2.6140925600196325e-21,1.1766168832667792e-19,0.78427305720838569,1,1,4.622231866529366e-33
780,1.1363371054780858e-17,0,5.4726119225389697e-18,4.6640116549469533e-18,1.0909152451983585e-18,6.6941718639578782e-21,1.489891617748745e-21,3.248152965561354e-21,1.2440001564931193e-19,0.82271929053848802,1,1,3.0814879110195774e-33
840,1.1363371054780858e-17,0,5.2027961712998407e-18,4.7924700211099861e-18,1.2246660810077843e-18,6.920677579870695e-21,1.7496268314221445e-21,3.9650216911837157e-21,1.3080345526077398e-19,0.85055703143994832,1,1,3.0814879110195774e-33
900,1.1363371054780858e-17,0,4.9503749072718644e-18,4.9011063840147094e-18,1.3611306327679962e-18,7.0850842093658153e-21,2.0137592738732717e-21,4.7666043529842197e-21,1.3689368289006871e-19,0.87076274296437239,1,1,4.622231866529366e-33
960,1.1363371054780858e-17,0,4.7140955919399483e-18,4.9917346834046256e-18,1.4997085038784759e-18,7.2069765320441688e-21,2.280097965586409e-21,5.6543905026453954e-21,1.4269081055753667e-19,0.88574341081605368,1,1,4.622231866529366e-33
1020,1.1363371054780858e-17,0,4.4928002719301475e-18,5.0660201450354672e-18,1.6398600855045027e-18,7.300372729044675e-21,2.5471718955232991e-21,6.6295029405548782e-21,1.4821350474562065e-19,0.89722188111780343,1,1,1.5407439555097887e-33
1080,1.1363371054780858e-17,0,4.2854183032153629e-18,5.1254910787946342e-18,1.7811013158967926e-18,7.3745164901686689e-21,2.8140039215898937e-21,7.6927409854310039e-21,1.5347909547687901e-19,0.90633421103544642,1,1,3.0814879110195774e-33
1140,1.1363371054780858e-17,0,4.0909596390558827e-18,5.1715497490218169e-18,1.9229982029037816e-18,7.4352338849478196e-21,3.0799352240548687e-21,8.8446176865239971e-21,1.5850367700385e-19,0.91379642936076355,1,1,0
1200,1.1363371054780858e-17,0,3.9085086378265419e-18,5.2054823877752693e-18,2.0651617606678093e-18,7.4861689852631949e-21,3.3445069332114469e-21,1.0085391832177028e-20,1.6330220076058621e-19,0.9200563955592107,1,1,0
1260,1.1363371054780858e-17,0,3.7372183502939354e-18,5.228468418883015e-18,2.2072435795425349e-18,7.5296620253106757e-21,3.6073870564414426e-21,1.1415095804488739e-20,1.6788856117513292e-19,0.9254017263601545,1,1,1.5407439555097887e-33
1320,1.1363371054780858e-17,0,3.5763052490712004e-18,5.2415889559949936e-18,2.3489319972362424e-18,7.5672901421280627e-21,3.8683272652674499e-21,1.2833560175408417e-20,1.7227567489562226e-19,0.93002625321746113,1,1,4.622231866529366e-33
1380,1.1363371054780858e-17,0,3.4250443658958972e-18,5.2458346326494483e-18,2.4899487551946254e-18,7.6001740954829308e-21,4.1271373117691419e-21,1.4340435693934292e-20,1.764755539397042e-19,0.93406771843885483,1,1,3.0814879110195774e-33
1440,1.1363371054780858e-17,0,3.2827648050614206e-18,5.24211281735148e-18,2.6300460294553052e-18,7.6291472769502791e-21,4.3836692924035033e-21,1.5935213105859985e-20,1.8049937323744247e-19,0.93762854654214856,1,1,3.0814879110195774e-33
1500,1.1363371054780858e-17,0,3.1488456038021219e-18,5.2312542621343213e-18,2.7690037566118132e-18,7.654850734587586e-21,4.6378073887534978e-21,1.7617241107960691e-20,1.8435753300130389e-19,0.94078752286685385,1,1,3.0814879110195774e-33
1560,1.1363371054780858e-17,0,3.0227119127059546e-18,5.2140192290541718e-18,2.906627203599199e-18,7.6777896663653063e-21,4.8894607768774225e-21,1.938574265508661e-20,1.8805971632321075e-19,0.94360673666378181,1,1,7.7037197775489434e-33
