time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
1260,1.1363371054780858e-17,0,3.764654355818788e-18,5.5419552389380648e-18,1.8842685641556466e-18,7.4306067044947612e-21,3.5455841177488372e-21,1.0170080399261808e-20,1.5134662464684401e-19,0.91322774503402393,0.77316962185592941,0.77169306374149405,9.2444637330587321e-33
1320,1.1363371054780858e-17,0,3.6063329304993227e-18,5.5791982846142998e-18,1.999851896169036e-18,7.4724875390709672e-21,3.8033872391560501e-21,1.1386021400471984e-20,1.5532604731948973e-19,0.91837493444145635,0.77169306374149405,0.77040626638963594,9.2444637330587321e-33
1380,1.1363371054780858e-17,0,3.457769548922288e-18,5.60700659787004e-18,2.1152116684386362e-18,7.5093502942127033e-21,4.0592723064057207e-21,1.2674800927778684e-20,1.591398160214883e-19,0.92290539771216962,0.77040626638963594,0.76927365057195762,7.7037197775489434e-33
1440,1.1363371054780858e-17,0,3.3182812969282862e-18,5.6262352380073324e-18,2.2301650938003553e-18,7.5420510255306716e-21,4.3130777458113744e-21,1.4036201284204532e-20,1.6279809598933299e-19,0.92692434479281749,0.76927365057195762,0.76826891380179563,4.622231866529366e-33
1500,1.1363371054780858e-17,0,3.1872352839710654e-18,5.6376731722701462e-18,2.3445464354935555e-18,7.5712474117967894e-21,4.5646750430605339e-21,1.5469898319921202e-20,1.6631034227130933e-19,0.93051260495154997,0.76826891380179563,0.76737184876211251,3.0814879110195774e-33
1560,1.1363371054780858e-17,0,3.0640449369077719e-18,5.6420478223696726e-18,2.4582060511940489e-18,7.5974593262463296e-21,4.8139614875143163e-21,1.6975471769239105e-20,1.6968535172636256e-19,0.9337340710414318,0.76737184876211251,0.76656648223964208,3.0814879110195774e-33
1620,1.1363371054780858e-17,0,2.9481665653403469e-18,5.6400294511424178e-18,2.5710093510290523e-18,7.6211062152711874e-21,5.0608549802158851e-21,1.855241490499066e-20,1.7293131116856157e-19,0.93664029337293775,0.76656648223964208,0.76583992665676559,1.5407439555097887e-33
1680,1.1363371054780858e-17,0,2.8390961801585719e-18,5.6322353210816108e-18,2.6828357462797558e-18,7.6425316553925827e-21,5.3052901609268277e-21,2.0200143504097865e-20,1.7605584194049874e-19,0.93927349778632541,0.76583992665676559,0.76518162555341862,4.622231866529366e-33
1740,1.1363371054780858e-17,0,2.7363665474873813e-18,5.61923360061663e-18,2.7935776255101914e-18,7.6620204121323224e-21,5.5472154306084981e-21,2.191800414451236e-20,1.7906604117940054e-19,0.94166868220110311,0.76518162555341862,0.76458282944972422,0
1800,1.1363371054780858e-17,0,2.6395444611383155e-18,5.6015470150530692e-18,2.9031393752871949e-18,7.6798108034923509e-21,5.7865906123980433e-21,2.3705281865415529e-20,1.819685200209703e-19,0.94385513609795169,0.76458282944972422,0.76403621597551208,3.0814879110195774e-33
1860,1.1363371054780858e-17,0,2.548228217687026e-18,5.5796562487588173e-18,3.0114364531197651e-18,7.6961039353017161e-21,6.0233850844674923e-21,2.5561207227196712e-20,1.8476943896827951e-19,0.94585757555054828,0.76403621597551208,0.76353560611236293,6.1629758220391547e-33
1920,1.1363371054780858e-17,0,2.4620452793414772e-18,5.5540031095242355e-18,3.1183945154473047e-18,7.7110707517735933e-21,6.257576270635731e-21,2.7484962808989578e-20,1.8747454063643773e-19,0.94769700974488968,0.76353560611236293,0.76307574756377761,3.0814879110195774e-33
1980,1.1363371054780858e-17,0,2.3806501107823817e-18,5.5249934678698621e-18,3.2239486009637716e-18,7.7248575080062625e-21,6.4891484073573822e-21,2.9475689181167539e-20,1.9008918006830573e-19,0.94939141355421508,0.76307574756377761,0.7626521466114462,4.622231866529366e-33
2040,1.1363371054780858e-17,0,2.3037221771283651e-18,5.4929999847053205e-18,3.3280423681538716e-18,7.7375900747867221e-21,6.7180915273930311e-21,3.1532490388996497e-20,1.9261835280211684e-19,0.95095625660295036,0.7626521466114462,0.76226093584926247,6.1629758220391547e-33
2100,1.1363371054780858e-17,0,2.2309640910954789e-18,5.4583646407487674e-18,3.4306273851173202e-18,7.7493773633208626e-21,6.9444006154420632e-21,3.3654438982022969e-20,1.9506672085850049e-19,0.95240492416889577,0.76226093584926247,0.76189876895777608,4.622231866529366e-33
2160,1.1363371054780858e-17,0,2.1620998982816035e-18,5.4214010807860872e-18,3.5316624693107902e-18,7.7603140767476014e-21,7.1680749016843737e-21,3.5840580621953981e-20,1.9743863680198398e-19,0.95374905534660193,0.76189876895777608,0.76156273616334946,6.1629758220391547e-33
2220,1.1363371054780858e-17,0,2.0968734903112768e-18,5.382396785335497e-18,3.6311130746065429e-18,7.7704829401693414e-21,7.3891172669438704e-21,3.8089938299884786e-20,1.997381660205357e-19,0.95499881711996792,0.76156273616334946,0.76125029572000802,7.7037197775489434e-33
2280,1.1363371054780858e-17,0,2.0350471363272243e-18,5.3416150816724548e-18,3.7289507229720736e-18,7.7799565222930613e-21,7.6075337389441079e-21,4.0401516191824432e-20,2.0196910735603587e-19,0.95616312824344674,0.76125029572000802,0.76095921793913834,6.1629758220391547e-33
2340,1.1363371054780858e-17,0,1.9764001240138113e-18,5.2992970055136477e-18,3.825152478067534e-18,7.7887987341317381e-21,7.8233330634571774e-21,4.2774303179600013e-20,2.0413501220866845e-19,0.95724984343369679,0.76095921793913834,0.76068753914157583,6.1629758220391547e-33
