time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
2340,1.1363371054780858e-17,0,1.9732937109336093e-18,5.3146089148578038e-18,3.7904237452650795e-18,7.9000906160773807e-21,8.2159776047878128e-21,4.2360940386717276e-20,2.2656767511678232e-19,0.97092770830149189,0.75745552599083765,0.75726807292462706,1.5407439555097887e-33
2400,1.1363371054780858e-17,0,1.9177547620299332e-18,5.2706006480607926e-18,3.885001025059548e-18,7.9057927775325118e-21,8.4283120066158839e-21,4.477849771078097e-20,2.2890201713565409e-19,0.97162850868759487,0.75726807292462706,0.75709287282810123,0
2460,1.1363371054780858e-17,0,1.864993896583473e-18,5.2254820999489147e-18,3.9779193503748962e-18,7.9111310248134878e-21,8.6379631565687312e-21,4.7255216093807545e-20,2.3117139759838393e-19,0.97228458371897697,0.75709287282810123,0.75692885407025579,0
2520,1.1363371054780858e-17,0,1.8148343707972832e-18,5.1794376744303855e-18,4.0691688166784011e-18,7.9161363961501254e-21,8.8449535184021983e-21,4.9790060104220143e-20,2.3337904285601595e-19,0.97289974801990153,0.75692885407025579,0.75677506299502462,0
2580,1.1363371054780858e-17,0,1.7671119831588068e-18,5.1326355683298046e-18,4.1587433955870936e-18,7.9208365959324981e-21,9.0493064538733551e-21,5.2381989866742782e-20,2.3552797478860571e-19,0.973477406482954,0.75677506299502462,0.75663064837926153,1.5407439555097887e-33
2640,1.1363371054780858e-17,0,1.7216741487843779e-18,5.0852290419315634e-18,4.2466405729763942e-18,7.9252564233784788e-21,9.2510460824326538e-21,5.5029963289332073e-20,2.3762102529338014e-19,0.97402060695263981,0.75663064837926153,0.7564948482618401,0
2700,1.1363371054780858e-17,0,1.6783790429312242e-18,5.0373575932948443e-18,4.3328610154743687e-18,7.9294181373591427e-21,9.4501971591076129e-21,5.7732938079806822e-20,2.3966084970414807e-19,0.97453208506273004,0.7564948482618401,0.75636697873431746,0
2760,1.1363371054780858e-17,0,1.6370948084934013e-18,4.989148043499316e-18,4.4174082632614393e-18,7.9333417681478219e-21,9.6467849679334036e-21,6.0489873568805221e-20,2.41649939221816e-19,0.97501430255047883,0.75636697873431746,0.75624642436238032,1.5407439555097887e-33
2820,1.1363371054780858e-17,0,1.597698822686034e-18,4.9407155394611617e-18,4.5002884472357727e-18,7.937045384836782e-21,9.8408352287213167e-21,6.3299732354460557e-20,2.4359063242987185e-19,0.97546948012235646,0.75624642436238032,0.75613262996941089,1.5407439555097887e-33
2880,1.1363371054780858e-17,0,1.5600770184813479e-18,4.8921644804748718e-18,4.581510028737563e-18,7.940545325561409e-21,1.0032374015311527e-20,6.6161481783035846e-20,2.4548512596316758e-19,0.97589962574879241,0.75613262996941089,0.7560250935628019,3.0814879110195774e-33
2940,1.1363371054780858e-17,0,1.524123256692296e-18,4.8435893741853892e-18,4.661083560151138e-18,7.9438563963910623e-21,1.0221427683748291e-20,6.9074095278687685e-20,2.4733548439320876e-19,0.97630655910802711,0.7560250935628019,0.75592336022299322,0
