model_time,CD95,FADD,DISC,p55free,DISCp55,p30,p43,p18,p18inactive,Bid,tBid,PrNES_mCherry,PrNES,mCherry,PrER_mGFP,PrER,mGFP,CD95L
2.5,12,89.115109845802905,0.81903104943757687,126.93414088264929,0.06522661536149886,0.0006315130777647495,9.7632027251017041e-07,1.2171512489956712e-08,4.1967708520397393e-10,223.99999995052494,4.9475120836630731e-08,1908.9999987857132,1.2142870630599205e-06,1.2142870630599205e-06,3315.9999999776951,2.2305390960656311e-08,2.2305390960656311e-08,16.600000000000001
2.75,12,89.027717850770173,0.89306130063792877,126.92077912931246,0.078383073573299128,0.00083622001291358853,1.5550057095550838e-06,2.1286936072673667e-08,8.086792423461798e-10,223.99999991309235,8.6907699462924608e-08,1908.999997866991,2.1330093456471032e-06,2.1330093456471032e-06,3315.9999999570196,4.2980442102231391e-08,4.2980442102231391e-08,16.600000000000001
3,12,88.940516597773808,0.96575748462253352,126.90627404550465,0.092643479177219559,0.0010800623559473531,2.3760705072531644e-06,3.5421332786430986e-08,1.4703318685455347e-09,223.99999985475219,1.4524785033757459e-07,1908.9999964351259,3.56487427516733e-06,3.56487427516733e-06,3315.9999999218535,7.8146575845580046e-08,7.8146575845580046e-08,16.600000000000001
3.25,12,88.853504025028315,1.0371426912543726,126.89064665720826,0.10798362176631185,0.0013661555400577426,3.5064109591851352e-06,5.6528301799833136e-08,2.5461044828608226e-09,223.99999976718698,2.3281307731258681e-07,1908.9999942859786,5.7140215707169396e-06,5.7140215707169396e-06,3315.9999998646776,1.3532274674544072e-07,1.3532274674544072e-07,16.600000000000001
3.5,12,88.766678105221132,1.1072396391506321,126.87391765308371,0.12437968623571566,0.0016975461081079322,5.0232844277623366e-06,8.7058384360670812e-08,4.2296281207166766e-09,223.99999963988148,3.601185745332022e-07,1908.9999911614707,8.8385297147050619e-06,8.8385297147050619e-06,3315.9999997751997,2.2480023850250589e-07,2.2480023850250589e-07,16.600000000000001
3.75,12,88.680036844956277,1.1760706804980157,126.85610738864757,0.14180824698212849,0.0020772127821315632,7.0147814698925438e-06,1.3002737804560986e-07,6.7793035261624818e-09,223.9999994597932,5.4020680164496639e-07,1908.9999867414956,1.3258504843871549e-05,1.3258504843871549e-05,3315.9999996396868,3.6031277597824199e-07,3.6031277597824199e-07,16.600000000000001
4,12,88.59357828420525,1.2436578058624159,126.83723589044862,0.16024626216717389,0.0025080675141867194,9.580250985720498e-06,1.8908646345743836e-07,1.0532554354473734e-08,223.99999921100761,7.8899238325969383e-07,1908.9999806354551,1.9364545748871777e-05,1.9364545748871777e-05,3315.9999994402056,5.5979406775967399e-07,5.5979406775967399e-07,16.600000000000001
4.25,12,88.507300495765435,1.3100226489899462,126.81732286023981,0.17967106804479016,0.0029929565189593102,1.2830680886713409e-05,2.6859376341175435e-07,1.5921763360471274e-08,223.99999887437897,1.1256210294936997e-06,1908.9999723734479,2.7626552997481384e-05,2.7626552997481384e-05,3315.9999991537748,8.4622479762417869e-07,8.4622479762417869e-07,16.600000000000001
4.5,12,88.421201584725623,1.3751864915964898,126.79638767914317,0.20006037335271612,0.0035346612884991553,1.6889036689573926e-05,3.7368698067561927e-07,2.3491921474196153e-08,223.99999842715874,1.5728412330179056e-06,1908.9999613971493,3.8602851635238622e-05,3.8602851635238622e-05,3315.9999987514288,1.2485706541433153e-06,1.2485706541433153e-06,16.600000000000001
4.75,12,88.335279687939035,1.4391702681430782,126.77444941180525,0.22139225376810259,0.0041358995894606411,2.1890560349247087e-05,5.1035678703693547e-07,3.3920011393934446e-08,223.9999978426124,2.1573875587341178e-06,1908.9999470504026,5.2949598406349047e-05,5.2949598406349047e-05,3315.9999981971869,1.8028125480350148e-06,1.8028125480350148e-06,16.600000000000001
5,12,88.249532973503477,1.5019945705945572,126.75152681054116,0.24364514642723714,0.0047993264432088911,2.7983031554626177e-05,6.8552066126591152e-07,4.8036139918812559e-08,223.99999708962557,2.9103743995932002e-06,1908.9999285695553,7.1430445846311515e-05,7.1430445846311515e-05,3315.9999974469297,2.5530697731572666e-06,2.5530697731572666e-06,16.600000000000001
5.25,12,88.163959640248791,1.5636796531591401,126.72763831946455,0.26679784450932659,0.0055275350891414434,3.5326993620308414e-05,9.0709689781398017e-07,6.6846426177106012e-08,223.99999613230082,3.8676991294691486e-06,1908.9999050735639,9.4926437006233709e-05,9.4926437006233709e-05,3315.9999964471826,3.5528164914806504e-06,3.5528164914806504e-06,16.600000000000001
