model_time,CD95,FADD,DISC,p55free,DISCp55,p30,p43,p18,p18inactive,Bid,tBid,PrNES_mCherry,PrNES,mCherry,PrER_mGFP,PrER,mGFP,CD95L
4.5,12,88.421201584725637,1.3751864915965013,126.79638767914325,0.20006037335270033,0.0035346612885022496,1.6889036695105383e-05,3.7368697903354759e-07,2.3491921954187324e-08,223.99999842715869,1.5728412293945606e-06,1908.9999613971513,3.8602851546316846e-05,3.8602851546316846e-05,3315.9999987514338,1.248570679654362e-06,1.248570679654362e-06,16.600000000000001
4.75,12,88.335279687938979,1.439170268143088,126.77444941180539,0.2213922537680876,0.0041358995894638269,2.1890560355865664e-05,5.1035678515357306e-07,3.3920011919685751e-08,223.99999784261229,2.1573875545294475e-06,1908.9999470504049,5.2949598303162124e-05,5.2949598303162124e-05,3315.9999981971932,1.8028125759781775e-06,1.8028125759781775e-06,16.600000000000001
5,12,88.24953297350342,1.5019945705945654,126.75152681054129,0.24364514642722296,0.0047993264432121627,2.7983031562302613e-05,6.8552065916533831e-07,4.8036140477930941e-08,223.99999708962548,2.9103743948562963e-06,1908.9999285695578,7.1430445730064903e-05,7.1430445730064903e-05,3315.9999974469365,2.5530698028738734e-06,2.5530698028738734e-06,16.600000000000001
5.25,12,88.163959640248777,1.5636796531591439,126.72763831946466,0.26679784450931399,0.0055275350891450491,3.532699363106391e-05,9.0709689498577888e-07,6.6846426907458225e-08,223.99999613230071,3.8676991229651858e-06,1908.9999050735662,9.492643684662786e-05,9.492643684662786e-05,3315.9999964471904,3.5528165302982188e-06,3.5528165302982188e-06,16.600000000000001
5.5,12,88.078557917231564,1.6242454370065742,126.70280207860201,0.29082949188424001,0.0063230579315705464,4.4095946048018242e-05,1.1840785238110516e-06,9.1557648342056003e-08,223.99999492954618,5.0704536220531849e-06,1908.9998755538973,0.00012444610550247848,0.00012444610550247848,3315.9999951338154,4.8661916797855952e-06,4.8661916797855952e-06,16.600000000000001
5.75,12,87.993326063236935,1.683711514962821,126.67703592798922,0.31571957782414367,0.0071883674704701656,5.4476505623231955e-05,1.5266069152451766e-06,1.2360363727337391e-07,223.99999343465657,6.565343232040958e-06,1908.9998388642434,0.00016113575870921746,0.00016113575870921746,3315.9999934306043,6.5694019235766622e-06,6.5694019235766622e-06,16.600000000000001
6,12,87.908262366287417,1.7420971561792244,126.6503574117484,0.34144793177870414,0.008125877216467783,6.6668538143790088e-05,1.9460448425909587e-06,1.6467342096643126e-07,223.99999159488763,8.4051121969339724e-06,1908.9997937100843,0.00020628991852605661,0.00020628991852605661,3315.9999912477883,8.7522172645302991e-06,8.7522172645302991e-06,16.600000000000001
6.25,12,87.823365143159165,1.7994213107742758,126.62278378214351,0.36799471821390278,0.0091379425903151141,8.088526232948784e-05,2.4550488165032467e-06,2.1674108770149815e-07,223.99998935102505,1.0648974748045812e-05,1908.9997386381006,0.00026136190225724813,0.00026136190225724813,3315.9999884804474,1.1519558394971806e-05,1.1519558394971806e-05,16.600000000000001
6.5,12,87.738632738904684,1.8557026144462374,126.59433200361298,0.39534043151405773,0.010226861807195398,9.7353327819326495e-05,3.0676405091849877e-06,2.820973603215368e-07,223.99998663694885,1.3363051004454252e-05,1908.9996720254826,0.00032797452086636965,0.00032797452086636965,3315.9999850068307,1.4993174796948453e-05,1.4993174796948453e-05,16.600000000000001
6.75,12,87.654063526383212,1.9109593930549591,126.5650187567781,0.42346589094688758,0.011394876746138236,0.00011631286884187404,3.7992771082736155e-06,3.6338285354498602e-07,223.99998337919294,1.6620806917080036e-05,1908.9995920691267,0.00040793087661686485,0.00040793087661686485,3315.9999806865935,1.9313412332730794e-05,1.9313412332730794e-05,16.600000000000001
